-1	80	70	60	50	40	30	20	10	0
260	98.4	99.2	98.9	99	98.75	97.1	91.35	58.5	15.55
240	98.85	99	99.2	98.8	98.5	97.3	91.75	60.4	16.9
220	99	99.05	99.15	98.95	98.6	97.6	91.5	59.8	14.95
200	98.75	99	99.1	98.8	98.95	97.9	92.05	60.85	15.15
180	98.95	98.85	98.65	98.8	98.65	98.15	90.95	56.3	14.4
160	99	99	99.1	98.75	98.6	97.1	91.7	60.5	14.7
140	98.8	99.05	99	98.6	98.8	97.5	91.6	59.6	15.35
120	98.45	99.1	98.25	98.4	98.4	97.55	91.9	57.85	16
100	98.45	98.85	98.6	98.45	98.35	97.6	92.4	58.35	15.35
80	98.3	98.75	98.6	98.7	98.3	97	92.5	57.95	14.75
